,0,1,2,3,4,5,6,7,8,9
0,0.0,-1.5,-1.5,-1.5,-1.5,-0.75,-0.75,-1.5,-0.75,-1.5
1,-0.75,0.0,-1.5,-1.5,-1.5,-1.5,-0.75,-1.5,-1.5,-1.5
2,-1.5,-1.5,0.0,-1.5,-1.5,-1.5,-0.75,-0.75,-1.5,-1.5
3,-1.5,-0.75,-1.5,0.0,-0.75,-1.5,-1.5,-1.5,-1.5,-1.5
4,-0.75,-1.5,-1.5,-0.75,0.0,-1.5,-1.5,-1.5,-1.5,-1.5
5,-1.5,-1.5,-1.5,-1.5,-1.5,0.0,-0.75,-1.5,-1.5,-1.5
6,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,0.0,-1.5,-1.5,-1.5
7,-1.5,-0.75,-1.5,-1.5,-0.75,-1.5,-1.5,0.0,-0.75,-1.5
8,-1.5,-0.75,-1.5,-1.5,-1.5,-0.75,-1.5,-1.5,0.0,-1.5
9,-0.75,-1.5,-1.5,-1.5,-0.75,-1.5,-0.75,-1.5,-1.5,0.0
